,0,1,2
0,0.0,0.0,0.0
1,0.0915,100.0,150.0
2,0.183,200.0,300.0
3,0.2745,300.0,450.0
4,0.366,400.0,600.0
5,0.4574,500.0,749.0
6,0.5489,600.0,899.0
7,0.6404,700.0,1050.0
8,0.7319,800.0,1200.0
9,0.8234,900.0,1350.0
10,0.9149,1000.0,1500.0
11,1.0064,1100.0,1650.0
12,1.0979,1200.0,1800.0
13,1.1894,1300.0,1950.0
14,1.2809,1400.0,2100.0
15,1.3723,1500.0,2249.0
16,1.4638,1600.0,2400.0
17,1.5553,1700.0,2550.0
18,1.6468,1800.0,2700.0
19,1.7383,1900.0,2850.0
20,1.8298,2000.0,3000.0
21,1.9213,2100.0,3150.0
22,2.0128,2200.0,3300.0
23,2.1043,2300.0,3450.0
24,2.1957,2400.0,3599.0
25,2.2872,2500.0,3749.0
26,2.3787,2600.0,3900.0
27,2.4702,2700.0,4050.0
28,2.5617,2800.0,4200.0
29,2.6532,2900.0,4350.0
30,2.7447,3000.0,4500.0
31,2.8362,3100.0,4650.0
32,2.9277,3200.0,4800.0
33,3.0192,3300.0,4950.0
34,3.1106,3400.0,5099.0
35,3.2021,3500.0,5250.0
36,3.2936,3600.0,5400.0
37,3.3851,3700.0,5550.0
38,3.4766,3800.0,5700.0
39,3.5681,3900.0,5850.0
40,3.6596,4000.0,6000.0
